,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
11,togashi_kouichi,"#Anime😍 Games🎮( #Ps4Gamer ) #Mangas 📚 mag alles was kawaii ist😍🤩 (Kuchen🥘 und Backen🍪 mag ich)
Beziehungsstatus: Single 💗",,349,394,41077,0,@SonntagsMadchen Pat Pat https://t.co/UVEZvWPeYp,[],2018-01-08 12:10:13+00:00,950338850152439808,1584279167993905152
12,nrick21,Spoil One Piece: https://t.co/BkAjRkfh2g… Ex - SFS,@Paris,848,9859,17883,5,Le chapitre de hxh me rappelle pk togashi n’a pas de concurrent ici bas,[],2018-09-01 10:13:42+00:00,1035833065275367424,1584279148570152961
13,JD_SuN_a,"Bien le bonjoir ! ⭐-_-💧
Je me nomme Souna mais vous pouvez m'appeler Suna 👀✨",,1001,132,1414,5,Le chapitre de hxh me rappelle pk togashi n’a pas de concurrent ici bas,[],2022-01-09 16:45:19+00:00,1480218870698983425,1584279126638481409
14,eiliahn,.... . .-.. .-.. --- | .-- --- .-. .-.. -..,,1664,5,24217,1084,Yoshihiro Togashi's author comment from Shonen Jump issue #47 https://t.co/uHQvF3WN89,[],2020-12-22 18:13:38+00:00,1341446755460788224,1584279109156605953
15,noonslullabies,"Noon/Laur
(29, white, queer, they/them, disabled)

A painfully shy storyteller! :D

;; I'm not good at summaries.","Pennsylvania, USA",4703,163,224774,1084,Yoshihiro Togashi's author comment from Shonen Jump issue #47 https://t.co/uHQvF3WN89,[],2015-06-25 03:48:02+00:00,3345121312,1584278988637474816
16,ZakiFajarF,"An Amateur Photographer & Fashion Enthusiast.
Love philosophical things.
Check my instagram for my latest updates @zakifajar","Bekasi Barat, Indonesia",553,272,38646,1084,Yoshihiro Togashi's author comment from Shonen Jump issue #47 https://t.co/uHQvF3WN89,[],2010-05-29 05:04:33+00:00,149392763,1584278919901241344
17,TagBaack,"@realmadrid
@solarytv                                                 Content Creator @RocketBaguette ⚽",,420,139,3115,0,@kingazo13 on va d'abord relire tout depuis la fin de l'anime et ensuite apprécier l'immense supériorité de togashi sur le monde,[],2021-07-09 09:41:28+00:00,1413433058393534466,1584278891786801152
18,ASchlski,"Cristão e colorado.  Dou minha opinião aqui sobre futebol, jogos, animes, etc . Tenho um canal de gameplays no YouTube, confere lá","Estação, Brasil",878,442,50808,0,"ISSO AQUI me dá um hype sério

Mas eu não tenho ânimo pra ler as redações do Togashi cara😅😅 https://t.co/PPbS4IdEgI",[],2019-07-22 15:58:33+00:00,1153333520493895680,1584278838665572352
19,thirteentheri,(PT/EN) | 🏳️‍🌈 | EXO⁹ | Anime | Marvel | ⎊ |,,332,318,114686,458,Yoshihiro Togashi remembers Yu-Gi-Oh Kazuki Takahashi in his comment after Hunter×Hunter returns from a long hiatus https://t.co/gZFZiR6Eyh,[],2015-11-17 15:47:37+00:00,4210846307,1584278703818698752
20,sftkirua,media account @atIanticz !,multi; after effects ,16,20,21,0,hxh edit fancam everybody wants to rule the world lorde manga sucession arc dark continent 3d 391 chapter spoilers togashi comeback kurapika oito tserriednich theta hunters morena prudo phantom troupe animation video  editing hunter x hunter #HXH391 #hxh https://t.co/cSMzLIfsBr,"['HXH391', 'hxh']",2022-08-25 00:58:44+00:00,1562605320375246848,1584278622864838656
21,amhinataros,"ma vie se repose sur le Ten, Zetsu, Ren et Hatsu",Greed-Island,73,4341,4058,5,Le chapitre de hxh me rappelle pk togashi n’a pas de concurrent ici bas,[],2016-02-04 18:08:44+00:00,4860105043,1584278608646135808
22,Ahsokaisawesome,"Peruvian-Canadian|22yrs|Bisexual|she/her| A happy gal, artist, multi fandom and always open to new ideas! Kofi and curiouscat open~!! PFP by @sueanoimm",Canada,1965,260,106413,1084,Yoshihiro Togashi's author comment from Shonen Jump issue #47 https://t.co/uHQvF3WN89,[],2018-03-03 14:38:07+00:00,969945016197107713,1584278511543455744
23,starIightzone,i just like my octoling,jen/cyan | 19 | any pronouns ,61,43,8755,1084,Yoshihiro Togashi's author comment from Shonen Jump issue #47 https://t.co/uHQvF3WN89,[],2020-08-23 02:44:14+00:00,1297363931011268609,1584278499061211136
24,boofsacc,Let's all love Lain,,174,185,44948,1084,Yoshihiro Togashi's author comment from Shonen Jump issue #47 https://t.co/uHQvF3WN89,[],2017-05-15 03:27:58+00:00,863959112731811842,1584278455616966656
25,jaimetaeyong,"she/her - Toulouse,21/ cat behaviorist /Art acc : @luvchrollo",Not spoiler free / ar59,400,271,87454,1084,Yoshihiro Togashi's author comment from Shonen Jump issue #47 https://t.co/uHQvF3WN89,[],2017-05-18 18:07:24+00:00,865267591371251712,1584278430387838976
